Nest,Observed,Species,PIT,AE1,LFF,AE2,RFF,AE3,CNT,CNN,CW,SNT,SNN,SW,Biopsy,Incubation,Rel_Eggs,Eggs_Taken,Hatched,Unhatched,Live,Dead,Pipped,Comments,time,hatchdate,date,hatchsucc,emergencesucc,disVeg,disHT,disVeg2,disHT2,final_lat,final_long,final_access,treatment,total_eggs,orig_lat,orig_long,reloc_lat,reloc_long,reloc_access,access,orig_beach_side,reloc_beach_side,tags,returning_turtle,dna_id,prevtags,first_action,exit_time,dummy
24,Y,,,,,,,,95,0,85,91,0,68,N,63,0,0,76,0,0,0,0,"nest vandalized before excavation, unsure of numbers",9:37:00 PM,23-Aug-88,21-Jun-88,100%,100%,0,0,0,0,,,280,N,76,,,,,,280,,,,,,,,,928
25,Y,,,,,,,,115,0,100,108.5,0,78,N,0,0,0,18,3,7,2,5,no hatch detected,12:00:00 AM,,21-Jun-88,69%,35%,0,8.6,0,0,,,275,N,26,,,,,,275,,,,,,,,,929
26,Y,,,,,,,,98,0,88,91,0,69,N,0,0,0,0,111,0,0,0,,12:25:00 AM,,21-Jun-88,0%,0%,0,11.1,0,0,,,278,N,111,,,,,,278,,,,,,,,,930
27,N,,,,,,,,0,0,0,0,0,0,N,70,0,0,129,8,1,0,0,,3:00:00 AM,30-Aug-88,21-Jun-88,94%,93%,0,20,0,0,,,276,N,137,,,,,,276,,,,,,,,,931
28,Y,,,,,,,,104,0,95,95.5,0,76.5,N,67,0,0,108,24,0,0,0,,9:51:00 PM,28-Aug-88,22-Jun-88,82%,82%,0,18,0,0,,,278,N,132,,,,,,278,,,,,,,,,932
29,Y,,,,,,,,95.5,0,85.5,88.5,0,74.5,N,68,0,0,77,46,8,0,1,,12:10:00 AM,29-Aug-88,22-Jun-88,62%,56%,0,14,0,0,,,275,N,124,,,,,,275,,,,,,,,,933
30,Y,,,,,,,,96,0,88.5,88,0,72.5,N,61,134,0,124,10,0,0,0,,10:00:00 PM,23-Aug-88,23-Jun-88,93%,93%,0,4,0,0,,,280,Y,134,,,,,280,281,,,,,,,,,934
31,Y,,,,,,,,115,0,100,108,0,80,N,0,0,0,0,1,0,0,0,"no hatch, laid 1 egg",11:30:00 PM,,23-Jun-88,0%,0%,0,16.9,0,0,,,275,N,1,,,,,,275,,,,,,,,,935
32,Y,,,,,,,,94,0,88,85.3,0,64.6,N,62,0,0,80,23,0,2,1,,9:50:00 PM,26-Aug-88,25-Jun-88,77%,75%,0,5,0,0,,,276,N,104,,,,,,276,,,,,,,,,936
33,Y,,,,,,,,101,0,94,96,0,72,N,65,140,0,139,11,1,0,0,,11:30:00 PM,29-Aug-88,25-Jun-88,93%,92%,0,0.9,0,0,,,279,Y,150,,,,,279,279,,,,,,,,,937
34,Y,,,,,,,,102,0,93,95,0,74,N,61,0,1,155,7,16,0,0,,2:00:00 AM,25-Aug-88,25-Jun-88,95%,85%,0,4.1,0,0,,,281,N,163,,,,,,281,,,,,,,,,938
35,Y,,,,,,,,91,0,91,85,0,68.5,N,72,0,0,107,52,1,0,0,,2:00:00 AM,5-Sep-88,25-Jun-88,67%,67%,0,0,0,0,,,275,N,159,,,,,,275,,,,,,,,,939
36,Y,,,,,,,,89,0,81.5,84.5,0,67,N,63,0,0,95,10,0,0,0,,4:55:00 AM,27-Aug-88,26-Jun-88,90%,90%,0,7.4,0,0,,,,N,105,,,,,,,East,,,,,,,,940
37,Y,,,,,,,,95,0,93,90,0,70,N,57,132,0,110,22,8,2,1,,5:22:00 AM,22-Aug-88,26-Jun-88,83%,75%,0,3.4,0,0,,,280,Y,133,,,,,280,280,,,,,,,,,941
38,Y,,,,,,,,99,0,89,91.5,0,68.5,N,60,0,0,104,8,18,7,13,,10:23:00 PM,28-Aug-88,29-Jun-88,83%,63%,0,1,0,0,,,280,N,125,,,,,,280,,,,,,,,,942
39,Y,,,,,,,,99,0,91,92,0,72,N,0,0,0,0,0,0,0,0,lost to erosion 9/1/88,11:20:00 PM,,29-Jun-88,0%,0%,0,9,0,0,,,275,N,0,,,,,,275,,,,,,,,,943
40,N,,,,,,,,0,0,0,0,0,0,N,61,121,3,116,7,0,0,2,,,28-Aug-88,28-Jun-88,91%,91%,0,0,0,0,,,283,Y,128,,,,,283,,,,,,,,,,944
41,Y,,,,,,,,112,0,100,102,0,80,N,60,0,0,135,3,7,0,0,,2:40:00 AM,29-Aug-88,30-Jun-88,98%,93%,0,2.5,0,0,,,281,N,138,,,,,,281,,,,,,,,,945
42,Y,,,,,,,,107.5,0,103,100.5,0,78,N,71,0,0,60,6,0,0,0,,1:00:00 AM,10-Sep-88,1-Jul-88,91%,91%,0,7,0,0,,,275,N,66,,,,,,275,,,,,,,,,946
43,Y,,,,,,,,104,0,90.5,94.5,0,76.5,N,58,0,0,127,4,0,0,0,,9:50:00 PM,29-Aug-88,2-Jul-88,97%,97%,0,64,0,0,,,279,N,131,,,,,,279,,,,,,,,,947
44,Y,,,,,,,,98.5,0,91.5,86.5,0,68,N,65,0,0,14,45,1,0,1,,10:43:00 PM,5-Sep-88,2-Jul-88,23%,22%,0,4.3,0,0,,,279,N,60,,,,,,279,,,,,,,,,948
45,Y,,,,,,,,0,0,0,0,0,0,N,65,0,0,67,91,14,0,0,,9:50:00 PM,6-Sep-88,3-Jul-88,42%,34%,0,11.5,0,0,,,277,N,158,,,,,,277,,,,,,,,,949
46,Y,,,,,,,,103,0,97,95.5,0,72.5,N,59,0,0,119,21,0,1,0,,10:13:00 PM,31-Aug-88,3-Jul-88,85%,84%,0,10.6,0,0,,,275,N,140,,,,,,275,,,,,,,,,950
47,Y,,,,,,,,100,0,95,92,0,77,N,68,0,0,133,4,1,0,0,,9:50:00 PM,10-Sep-88,4-Jul-88,97%,96%,0,6.4,0,0,,,275,N,137,,,,,,275,,,,,,,,,951
48,Y,,,,,,,,98.5,0,94.5,92,0,74,N,62,0,0,113,5,0,0,0,,9:47:00 PM,5-Sep-88,5-Jul-88,96%,96%,0,9,0,0,,,275,N,118,,,,,,275,,,,,,,,,952
49,Y,,,,,,,,105,0,97,95.5,0,73.5,N,62,0,0,119,5,0,0,0,,10:23:00 PM,5-Sep-88,5-Jul-88,96%,96%,0,1.5,0,0,,,275,N,124,,,,,,275,,,,,,,,,953
50,Y,,,,,,,,104,0,95,95,0,76.5,N,68,0,0,112,8,0,0,0,,12:55:00 AM,12-Sep-88,5-Jul-88,93%,93%,0,0,0,0,,,279,N,120,,,,,,279,,,,,,,,,954
51,Y,,,,,,,,106,0,100,100,0,74,N,58,0,0,112,11,0,0,0,,3:06:00 AM,1-Sep-88,5-Jul-88,91%,91%,0,33.5,0,0,,,279,N,123,,,,,,279,,,,,,,,,955
52,Y,,,,,,,,96,0,91,89,0,73,N,61,0,0,105,5,0,0,0,,1:45:00 AM,5-Sep-88,6-Jul-88,95%,95%,0,14,0,0,,,276,N,110,,,,,,276,,,,,,,,,956
53,Y,,,,,,,,100,0,95.5,91,0,74,N,53,0,0,93,10,0,0,0,,5:35:00 AM,28-Aug-88,6-Jul-88,90%,90%,0,11.9,0,0,,,282,N,103,,,,,,282,,,,,,,,,957
54,N,,,,,,,,0,0,0,0,0,0,N,56,0,0,116,41,38,0,14,,,31-Aug-88,6-Jul-88,68%,46%,0,14,0,0,,,282,N,171,,,,,,282,,,,,,,,,958
55,Y,,,,,,,,98,0,89,90,0,70,N,0,0,0,0,0,0,0,0,lost to erosion,10:10:00 PM,,7-Jul-88,0%,0%,0,6,0,0,,,281,N,0,,,,,,281,,,,,,,,,959
56,Y,,,,,,,,100,0,97,91,0,70,N,69,157,0,154,3,0,0,0,,10:40:00 PM,15-Sep-88,8-Jul-88,98%,98%,0,11,0,0,,,279,Y,157,,,,,279,279,,,,,,,,,960
57,Y,,,,,,,,115,0,100,109,0,81.5,N,62,0,0,151,24,13,0,0,,12:40:00 AM,8-Sep-88,8-Jul-88,86%,79%,0,10.1,0,0,,,276,N,175,,,,,,276,,,,,,,,,961
58,Y,,,,,,,,98.5,0,89,90,0,73,N,55,0,0,108,9,0,0,4,,3:30:00 AM,2-Sep-88,9-Jul-88,89%,89%,0,5,0,0,,,281,N,121,,,,,,281,,,,,,,,,962
59,Y,,,,,,,,99,0,96,92,0,71,N,55,127,0,96,31,2,0,0,,4:30:00 AM,4-Sep-88,11-Jul-88,76%,74%,0,2.4,0,0,,,280,Y,127,,,,,280,280,,,,,,,,,963
60,Y,,,,,,,,114,0,104,101.5,0,80.5,N,63,0,0,98,4,1,0,1,,2:15:00 AM,14-Sep-88,13-Jul-88,95%,94%,0,6.8,0,0,,,281,N,103,,,,,,281,,,,,,,,,964
61,Y,,,,,,,,99,0,91,91.5,0,71.5,N,57,0,0,120,8,0,0,2,,4:00:00 AM,8-Sep-88,13-Jul-88,92%,92%,0,7.5,0,0,,,280,N,130,,,,,,280,,,,,,,,,965
62,Y,,,,,,,,101,0,90,92,0,68,N,70,0,0,8,100,0,1,0,,10:16:00 PM,23-Sep-88,15-Jul-88,7%,6%,0,17.2,0,0,,,278,N,108,,,,,,278,,,,,,,,,966
63,Y,,,,,,,,0,0,0,0,0,0,N,66,163,0,76,87,2,0,0,,9:46:00 PM,20-Sep-88,16-Jul-88,47%,45%,0,14.2,0,0,,,278,Y,163,,,,,278,278,,,,,,,,,967
64,Y,,,,,,,,109,0,95,96.5,0,78,N,61,0,0,100,16,8,0,0,,10:20:00 PM,15-Sep-88,16-Jul-88,86%,79%,0,28.6,0,0,,,279,N,116,,,,,,279,,,,,,,,,968
65,Y,,,,,,,,102,0,91,92,0,66.5,N,65,0,0,102,9,15,0,0,,10:40:00 PM,19-Sep-88,16-Jul-88,92%,78%,0,29.6,0,0,,,279,N,111,,,,,,279,,,,,,,,,969
66,Y,,,,,,,,102,0,95,94,0,73.5,N,64,0,0,116,1,3,0,1,,11:27:00 PM,18-Sep-88,16-Jul-88,98%,96%,0,20.5,0,0,,,277,N,118,,,,,,277,,,,,,,,,970
67,Y,,,,,,,,104.5,0,94,95.5,0,78,N,60,0,0,117,1,19,0,1,,10:20:00 PM,15-Sep-88,17-Jul-88,98%,82%,0,22.4,0,0,,,277,N,119,,,,,,277,,,,,,,,,971
68,Y,,,,,,,,97,0,90,89,0,69,N,68,0,0,13,56,4,0,0,,10:38:00 PM,23-Sep-88,17-Jul-88,19%,13%,0,32,0,0,,,279,N,69,,,,,,279,,,,,,,,,972
69,Y,,,,,,,,104,0,95,92,0,75,N,60,0,0,116,6,1,0,0,,3:50:00 AM,15-Sep-88,17-Jul-88,95%,94%,0,18.9,0,0,,,280,N,122,,,,,,280,,,,,,,,,973
70,Y,,,,,,,,105,0,94,96,0,74.5,N,62,0,0,97,2,0,0,0,,9:40:00 PM,18-Sep-88,18-Jul-88,98%,98%,0,22,0,0,,,277,N,99,,,,,,277,,,,,,,,,974
71,Y,,,,,,,,0,0,0,0,0,0,N,56,0,0,145,13,11,0,2,,11:42:00 PM,12-Sep-88,18-Jul-88,91%,84%,0,51.9,0,0,,,280,N,160,,,,,,280,,,,,,,,,975
72,Y,,,,,,,,101,0,97,95,0,77,N,59,0,0,115,15,14,1,0,,1:23:00 AM,15-Sep-88,18-Jul-88,88%,77%,0,30,0,0,,,279,N,130,,,,,,279,,,,,,,,,976
73,Y,,,,,,,,100,0,91,92,0,67,N,64,0,0,56,35,16,0,6,,5:30:00 AM,20-Sep-88,18-Jul-88,58%,41%,0,13.4,0,0,,,280,N,97,,,,,,280,,,,,,,,,977
74,Y,,,,,,,,0,0,0,0,0,0,N,65,0,0,0,0,0,0,0,"nest eroded after hatch, before excavation",10:30:00 PM,22-Sep-88,19-Jul-88,0%,0%,0,12,0,0,,,276,N,0,,,,,,276,,,,,,,,,978
75,N,,,,,,,,0,0,0,0,0,0,N,63,0,0,127,5,0,0,0,,1:00:00 AM,21-Sep-88,20-Jul-88,96%,96%,0,18.5,0,0,,,277,N,132,,,,,,277,,,,,,,,,979
76,Y,,,,,,,,0,0,0,0,0,0,N,61,124,0,116,8,0,0,0,,2:27:00 AM,19-Sep-88,20-Jul-88,94%,94%,0,7.7,0,0,,,280,Y,124,,,,,280,281,,,,,,,,,980
77,Y,,,,,,,,99,0,85,90,0,72,N,58,70,0,61,9,0,0,0,,4:00:00 AM,22-Sep-88,20-Jul-88,87%,87%,0,0,0,0,,,280,Y,70,,,,,280,281,,,,,,,,,981
78,Y,,,,,,,,104,0,96,92,0,70,N,62,134,0,128,6,0,0,0,,4:35:00 AM,20-Sep-88,20-Jul-88,96%,96%,0,7.9,0,0,,,280,Y,134,,,,,280,281,,,,,,,,,982
79,Y,,,,,,,,98,0,92,89.5,0,71,N,65,0,0,92,8,0,0,0,,9:45:00 PM,24-Sep-88,21-Jul-88,92%,92%,0,19.9,0,0,,,275,N,100,,,,,,275,,,,,,,,,983
80,Y,,,,,,,,101,0,95,92,0,70.5,N,63,97,0,87,10,0,0,0,,11:35:00 PM,22-Sep-88,21-Jul-88,90%,90%,0,0.9,0,0,,,280,Y,97,,,,,280,281,,,,,,,,,984
81,Y,,,,,,,,115.5,0,98,108,0,80,N,65,0,0,134,8,4,0,2,,10:30:00 PM,25-Sep-88,22-Jul-88,93%,90%,0,12,0,0,,,275,N,144,,,,,,275,,,,,,,,,985
82,Y,,,,,,,,101,0,98,91,0,69,N,63,0,0,115,7,4,0,0,,11:00:00 PM,23-Sep-88,22-Jul-88,94%,91%,0,32,0,0,,,276,N,122,,,,,,276,,,,,,,,,986
83,Y,,,,,,,,102.5,0,91,94,0,77,N,63,0,0,99,15,0,0,0,,12:30:00 AM,23-Sep-88,22-Jul-88,87%,87%,0,6.7,0,0,,,281,N,114,,,,,,281,,,,,,,,,987
84,N,,,,,,,,0,0,0,0,0,0,N,61,0,0,101,2,7,0,0,,,21-Sep-88,22-Jul-88,98%,91%,0,10,0,0,,,284,N,103,,,,,,284,,,,,,,,,988
85,Y,,,,,,,,102.5,0,87,93.5,0,69,N,59,0,0,103,13,1,1,0,,2:27:00 AM,20-Sep-88,23-Jul-88,89%,87%,0,20.9,0,0,,,279,N,116,,,,,,279,,,,,,,,,989
86,Y,,,,,,,,105,0,96,97,0,67,N,63,0,0,83,5,1,0,0,,1:30:00 AM,25-Sep-88,24-Jul-88,94%,93%,0,0,0,0,,,277,N,88,,,,,,277,,,,,,,,,990
87,Y,,,,,,,,102,0,100,96,0,73.5,N,61,0,0,122,20,8,26,4,,10:10:00 PM,26-Sep-88,27-Jul-88,84%,60%,0,8,0,0,,,277,N,146,,,,,,277,,,,,,,,,991
88,Y,,,,,,,,102,0,98,95,0,74,N,0,0,0,11,139,2,0,0,,2:50:00 AM,,27-Jul-88,7%,6%,0,6.3,0,0,,,277,N,150,,,,,,277,,,,,,,,,992
89,Y,,,,,,,,104,0,96,97,0,78,N,0,0,0,5,144,0,5,0,,3:15:00 AM,,27-Jul-88,3%,0%,0,9.3,0,0,,,279,N,149,,,,,,279,,,,,,,,,993
90,Y,,,,,,,,101,0,93,92,0,69,N,65,0,0,108,5,28,8,5,,10:00:00 PM,1-Oct-88,28-Jul-88,92%,61%,0,5.8,0,0,,,275,N,118,,,,,,275,,,,,,,,,994
91,Y,,,,,,,,99,0,95,91,0,67,N,66,121,0,110,11,4,1,0,,11:30:00 PM,2-Oct-88,28-Jul-88,91%,87%,0,4,0,0,,,279,Y,121,,,,,279,279,,,,,,,,,995
92,Y,,,,,,,,103,0,91,92.5,0,66.5,N,0,0,0,1,103,1,0,0,,1:30:00 AM,,28-Jul-88,1%,0%,0,11.5,0,0,,,279,N,104,,,,,,279,,,,,,,,,996
93,Y,,,,,,,,103,0,97,94,0,74.5,N,67,0,0,125,0,1,1,0,,10:45:00 PM,4-Oct-88,29-Jul-88,100%,98%,0,12.1,0,0,,,276,N,125,,,,,,276,,,,,,,,,997
94,Y,,,,,,,,103,0,89,94.5,0,74,N,0,0,0,1,107,0,0,4,,2:15:00 AM,,30-Jul-88,1%,1%,0,13.1,0,0,,,279,N,112,,,,,,279,,,,,,,,,998
95,Y,,,,,,,,100.5,0,92,91,0,69.8,N,0,0,0,29,89,27,0,0,,10:00:00 PM,,30-Jul-88,25%,2%,0,10.6,0,0,,,275,N,118,,,,,,275,,,,,,,,,999
96,Y,,,,,,,,0,0,0,0,0,0,N,66,0,0,153,14,24,0,0,,12:45:00 AM,5-Oct-88,31-Jul-88,92%,77%,0,126,0,0,,,279,N,167,,,,,,279,,,,,,,,,1000
97,Y,,,,,,,,94,0,85,88.5,0,72,N,0,0,0,15,34,15,0,5,,10:45:00 PM,,2-Aug-88,28%,0%,0,8.5,0,0,,,276,N,54,,,,,,276,,,,,,,,,1001
98,Y,,,,,,,,98,0,91,90.5,0,68,N,65,0,0,87,2,26,0,0,,1:10:00 AM,6-Oct-88,2-Aug-88,98%,69%,0,12.8,0,0,,,,N,89,,,,,,,East,,,,,,,,1002
99,Y,,,,,,,,97,0,90,88,0,70,N,0,0,0,0,0,0,0,0,lost to erosion,9:45:00 PM,,3-Aug-88,0%,0%,0,6.5,0,0,,,278,N,0,,,,,,278,,,,,,,,,1003
100,Y,,,,,,,,0,0,0,0,0,0,N,63,115,0,109,107,0,2,0,,4:14:00 AM,6-Oct-88,4-Aug-88,50%,50%,0,5,0,0,,,280,Y,216,,,,,280,280,,,,,,,,,1004
101,Y,,,,,,,,116,0,100,108.5,0,78,N,70,152,0,136,16,69,0,0,,11:20:00 PM,14-Oct-88,5-Aug-88,89%,44%,0,0,0,0,,,275,Y,152,,,,,275,,,,,,,,,,1005
102,Y,,,,,,,,98,0,93,88,0,78,N,62,110,0,109,5,4,0,0,,1:30:00 AM,7-Oct-88,6-Aug-88,96%,92%,0,0,0,0,,,280,Y,114,,,,,280,281,,,,,,,,,1006
103,Y,,,,,,,,104,0,92,96,0,73,N,65,121,0,93,4,1,0,24,,1:45:00 AM,10-Oct-88,6-Aug-88,77%,76%,0,4.5,0,0,,,280,Y,121,,,,,280,,,,,,,,,,1007
104,Y,,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,nest hatching sheet missing,9:46:00 PM,,9-Aug-88,0%,0%,0,9.3,0,0,,,277,N,0,,,,,,277,,,,,,,,,1008
105,N,,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,nest eroded away,11:40:00 PM,,9-Aug-88,0%,0%,0,5.5,0,0,,,280,N,0,,,,,,280,,,,,,,,,1009
106,Y,,,,,,,,100,0,93,88,0,77,N,0,0,0,0,0,0,0,0,nest hatching sheet missing,2:00:00 AM,,12-Aug-88,0%,0%,0,23,0,0,,,278,N,0,,,,,,278,,,,,,,,,1010
107,Y,,,,,,,,103,0,93,96.5,0,71,N,0,0,0,0,0,0,0,0,nest hatching sheet missing,1:15:00 AM,,14-Aug-88,0%,0%,0,56,0,0,,,279,N,0,,,,,,279,,,,,,,,,1011
108,N,,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,nest hatching sheet missing,12:00:00 AM,,14-Aug-88,0%,0%,0,23,0,0,,,279,N,0,,,,,,279,,,,,,,,,1012
109,Y,,,,,,,,98,0,91,89,0,71,N,0,0,0,0,0,0,0,0,nest overwashed,11:50:00 PM,,16-Aug-88,0%,0%,0,20,0,0,,,,N,0,,,,,,,East,,,,,,,,1013
110,Y,,,,,,,,118,0,105,108,0,75,N,0,0,0,0,0,0,0,0,nest overwashed,2:30:00 AM,,16-Aug-88,0%,0%,0,0,0,0,,,276,N,0,,,,,,276,,,,,,,,,1014
111,N,,,,,,,,0,0,0,0,0,0,N,0,86,0,0,0,0,0,0,nest hatching sheet missing,11:30:00 PM,,20-Aug-88,0%,0%,0,0,0,0,,,279,Y,0,,,,,279,,,,,,,,,,1015
112,N,,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,nest hatching sheet missing,3:00:00 AM,,29-Aug-88,0%,0%,0,0,0,0,,,275,N,0,,,,,,275,,,,,,,,,1016
1,N,,,,,,,,0,0,0,0,0,0,N,60,0,0,111,7,0,0,2,,,24-Jul-89,25-May-89,93%,93%,0,0,0,0,,,275,N,120,,,,,,275,,,,,,,,,1017
2,N,,,,,,,,0,0,0,0,0,0,N,62,0,0,120,33,0,2,2,,12:00:00 AM,28-Jul-89,27-May-89,77%,76%,0,5.3,0,0,,,280,N,155,,,,,,280,,,,,,,,,1018
3,Y,,,,,,,,100,0,94,98,0,74.3,N,56,0,0,104,4,0,0,2,,12:10:00 AM,24-Jul-89,29-May-89,95%,95%,0,5,0,0,,,282,N,110,,,,,,282,,,,,,,,,1019
4,Y,,,,,,,,104,0,100,97,0,73,N,64,141,0,121,17,0,1,0,,11:45:00 PM,4-Aug-89,1-Jun-89,88%,87%,0,0,0,0,,,280,Y,138,,,,,280,281,,,,,,,,,1020
5,Y,,,,,,,,92,0,83,85,0,65,N,60,0,0,85,7,0,0,0,,,31-Jul-89,1-Jun-89,92%,92%,0,32,0,0,,,280,N,92,,,,,,280,,,,,,,,,1021
6,Y,,,,,,,,102.5,0,93,96,0,68,N,62,107,0,0,0,0,0,0,hatching info missing,11:45:00 PM,4-Aug-89,3-Jun-89,0%,0%,0,0,0,0,,,280,Y,0,,,,,280,281,,,,,,,,,1022
7,Y,,,,,,,,91,0,82,86,0,61,N,63,47,0,40,6,0,0,1,,5:00:00 AM,5-Aug-89,3-Jun-89,85%,85%,0,0,0,0,,,280,Y,47,,,,,280,281,,,,,,,,,1023
8,Y,,,,,,,,100,0,85,94.5,0,72,N,60,0,0,82,33,0,0,0,,2:15:00 AM,6-Aug-89,7-Jun-89,71%,71%,0,4.8,0,0,,,277,N,115,,,,,,277,,,,,,,,,1024
9,Y,,,,,,,,100,0,90,95,0,64,N,0,118,0,0,0,0,0,0,hatching info missing,3:15:00 AM,,7-Jun-89,0%,0%,0,0,0,0,,,280,Y,0,,,,,280,281,,,,,,,,,1025
10,Y,,,,,,,,94,0,89,90,0,68,N,54,138,0,115,4,9,1,12,,10:07:00 PM,1-Aug-89,8-Jun-89,88%,80%,0,0,0,0,,,280,Y,131,,,,,280,281,,,,,,,,,1026
11,Y,,,,,,,,96,0,93,88,0,74,N,60,0,0,56,24,0,0,0,,1:00:00 AM,7-Aug-89,8-Jun-89,70%,70%,0,8.6,0,0,,,277,N,80,,,,,,277,,,,,,,,,1027
12,Y,,,,,,,,103,0,98,97,0,74,N,0,0,0,0,0,0,0,0,destroyed by raccoon,3:40:00 AM,,8-Jun-89,0%,0%,0,4.5,0,0,,,281,N,0,,,,,,281,,,,,,,,,1028
13,Y,,,,,,,,105,0,101,99,0,73,N,58,0,0,130,9,0,0,5,,10:45:00 PM,6-Aug-89,9-Jun-89,90%,90%,0,30.5,0,0,,,278,N,144,,,,,,278,,,,,,,,,1029
14,Y,,,,,,,,95,0,81,91,0,62,N,64,0,0,98,30,3,0,0,,11:00:00 PM,12-Aug-89,9-Jun-89,77%,74%,0,10.8,0,0,,,,N,128,,,,,,,,,,,,,,,1030
15,,,,,,,,,0,0,0,0,0,0,N,67,0,0,10,0,0,0,0,only laid 10 eggs,12:53:00 AM,15-Aug-89,9-Jun-89,100%,100%,0,0,0,0,,,279,N,10,,,,,,279,,,,,,,,,1031
16,Y,,,,,,,,105,0,95,96,0,74,N,0,0,0,0,0,0,0,0,hatching info missing,9:39:00 PM,,10-Jun-89,0%,0%,0,10,0,0,,,280,N,0,,,,,,280,,,,,,,,,1032
17,Y,,,,,,,,104,0,103,103,0,73,N,59,0,0,67,59,20,1,5,,1:15:00 AM,8-Aug-89,10-Jun-89,51%,35%,0,5.2,0,0,,,279,N,131,,,,,,279,,,,,,,,,1033
18,Y,,,,,,,,100,0,95,95,0,73,N,60,0,0,122,11,0,0,0,,4:12:00 AM,9-Aug-89,10-Jun-89,92%,92%,0,17.4,0,0,,,280,N,133,,,,,,280,,,,,,,,,1034
19,Y,,,,,,,,108,0,94,102,0,77,N,0,152,0,0,0,0,0,0,destroyed by raccoon,11:45:00 PM,,11-Jun-89,0%,0%,0,0,0,0,,,280,Y,0,,,,,280,280,,,,,,,,,1035
20,Y,,,,,,,,102,0,91,96,0,74.5,N,57,148,0,111,35,0,0,0,,1:40:00 AM,7-Aug-89,11-Jun-89,76%,76%,0,0,0,0,,,280,Y,146,,,,,280,281,,,,,,,,,1036
21,Y,,,,,,,,100,0,92,97,0,89,N,0,0,0,0,0,0,0,0,hatching info missing,12:18:00 AM,,12-Jun-89,0%,0%,0,7.3,0,0,,,280,N,0,,,,,,280,,,,,,,,,1037
22,Y,,,,,,,,92,0,82,88,0,67,N,63,0,0,122,11,5,1,1,,10:00:00 PM,16-Aug-89,14-Jun-89,91%,87%,0,4.4,0,0,,,279,N,134,,,,,,279,,,,,,,,,1038
23,Y,,,,,,,,104,0,94,96,0,73,N,57,128,0,118,8,0,0,1,,1:15:00 AM,11-Aug-89,15-Jun-89,93%,93%,0,0,0,0,,,280,Y,127,,,,,280,281,,,,,,,,,1039
24,Y,,,,,,,,99,0,90,93,0,72,N,66,0,0,67,49,4,1,1,"relocated mid-incubation, 123 eggs moved, 2 broken @ mid-incubation",9:52:00 PM,21-Aug-89,16-Jun-89,57%,53%,0,4,0,0,,,275,Y,117,,,,,275,,,,,,,,,,1040
25,Y,,,,,,,,97,0,90,87,0,64,N,0,125,0,0,0,0,0,0,hatching info missing,1:35:00 AM,,16-Jun-89,0%,0%,0,0,0,0,,,281,Y,0,,,,,281,,,,,,,,,,1041
26,Y,,,,,,,,0,0,0,0,0,0,N,52,143,2,124,19,1,0,0,,9:20:00 PM,8-Aug-89,17-Jun-89,86%,85%,0,0,0,0,,,281,Y,145,,,,,281,,,,,,,,,,1042
27,Y,,,,,,,,96,0,91,93,0,70,N,0,0,0,109,5,0,0,4,,2:04:00 AM,,17-Jun-89,92%,92%,0,8.5,0,0,,,278,N,118,,,,,,278,,,,,,,,,1043
28,Y,,,,,,,,98,0,92,93,0,70,N,60,0,0,68,49,1,0,0,"relocated mid-incubation, 117 eggs moved @ mid-incubation",10:05:00 PM,18-Aug-89,19-Jun-89,58%,57%,0,0,0,0,,,275,Y,117,,,,,275,,,,,,,,,,1044
29,Y,,,,,,,,105,0,91,78,0,69,N,0,0,0,0,0,0,0,0,destroyed by raccoons,10:00:00 PM,,21-Jun-89,0%,0%,0,0,0,0,,,280,N,0,,,,,,280,,,,,,,,,1045
30,Y,,,,,,,,0,0,0,0,0,0,N,57,122,0,27,95,0,0,0,,4:30:00 AM,18-Aug-89,22-Jun-89,22%,22%,0,0,0,0,,,281,Y,122,,,,,281,280,,,,,,,,,1046
31,Y,,,,,,,,93,0,87,88,0,69,N,57,83,1,40,43,0,0,0,,1:16:00 AM,19-Aug-89,23-Jun-89,48%,48%,0,0,0,0,,,276,Y,84,,,,,276,276,,,,,,,,,1047
32,N,,,,,,,,0,0,0,0,0,0,N,55,0,0,112,2,0,0,0,,10:30:00 PM,18-Aug-89,24-Jun-89,98%,98%,0,5.8,0,0,,,281,N,114,,,,,,281,,,,,,,,,1048
33,Y,,,,,,,,100,0,94,96,0,73,N,0,0,0,0,0,0,0,0,destroyed by raccoon,2:45:00 AM,,24-Jun-89,0%,0%,0,9.25,0,0,,,280,N,0,,,,,,280,,,,,,,,,1049
34,Y,,,,,,,,0,0,0,0,0,0,N,56,0,0,114,8,4,0,0,hatching info missing,5:00:00 AM,19-Aug-89,24-Jun-89,93%,90%,0,0.3,0,0,,,280,N,122,,,,,,280,,,,,,,,,1050
35,Y,,,,,,,,100.2,0,100,104,0,74,N,0,0,0,0,0,0,0,0,hatching info missing,9:40:00 PM,,25-Jun-89,0%,0%,0,0,0,0,,,281,N,0,,,,,,281,,,,,,,,,1051
