Nest,Observed,Species,PIT,AE1,LFF,AE2,RFF,AE3,CNT,CNN,CW,SNT,SNN,SW,Biopsy,Incubation,Rel_Eggs,Eggs_Taken,Hatched,Unhatched,Live,Dead,Pipped,Comments,time,hatchdate,date,hatchsucc,emergencesucc,disVeg,disHT,disVeg2,disHT2,final_lat,final_long,final_access,treatment,total_eggs,orig_lat,orig_long,reloc_lat,reloc_long,reloc_access,access,orig_beach_side,reloc_beach_side,tags,returning_turtle,dna_id,prevtags,first_action,exit_time,dummy
33,,CC,,,,,,,0,0,0,0,0,0,N,0,131,0,0,0,0,0,0,,,,7-Jul-80,0%,0%,0,0,0,0,,,,Y,0,,,,,,,,,,,,,,,33
34,,CC,,,,,,,0,0,0,0,0,0,N,0,101,0,24,0,0,0,0,,,,10-Jul-80,100%,100%,0,0,0,0,,,,Y,24,,,,,,,,,,,,,,,34
35,,CC,,,,,,,0,0,0,0,0,0,N,0,101,0,52,0,0,0,0,,,,15-Jul-80,100%,100%,0,0,0,0,,,,N,52,,,,,,,,,,,,,,,35
36,,CC,,,,,,,0,0,0,0,0,0,N,0,96,0,96,0,0,0,0,,,,29-Jul-80,100%,100%,0,0,0,0,,,,Y,96,,,,,,,,,,,,,,,36
37,,CC,,,,,,,0,0,0,0,0,0,N,0,125,0,60,0,0,0,0,,,,29-Jul-80,100%,100%,0,0,0,0,,,,N,60,,,,,,,,,,,,,,,37
38,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,2-Jul-80,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,38
39,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,7-Jul-80,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,39
40,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,7-Jul-80,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,40
41,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,6-Jul-80,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,41
42,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,6-Jul-80,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,42
43,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,29-Jul-80,0%,0%,0,0,0,0,,,,Y,0,,,,,,,,,,,,,,,43
44,,CC,,,,,,,0,0,0,0,0,0,N,77,102,0,98,0,0,0,0,,,17-Sep-80,2-Jul-80,100%,100%,0,0,0,0,,,,Y,98,,,,,,,,,,,,,,,44
45,,CC,,,,,,,0,0,0,0,0,0,N,0,66,0,62,0,0,0,0,,,,7-Jul-80,100%,100%,0,0,0,0,,,,N,62,,,,,,,,,,,,,,,45
46,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,10-Jul-80,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,46
47,,CC,,,,,,,0,0,0,0,0,0,N,0,100,0,68,0,0,0,0,,,,8-Jul-80,100%,100%,0,0,0,0,,,,N,68,,,,,,,,,,,,,,,47
48,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,6-Jul-80,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,48
49,,CC,,,,,,,0,0,0,0,0,0,N,0,97,0,0,0,0,0,0,,,,30-Jul-80,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,49
50,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,9-Aug-80,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,50
51,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,11-Aug-80,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,51
52,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,11-Aug-80,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,52
53,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,11-Aug-80,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,53
54,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,14-Aug-80,0%,0%,0,0,0,0,,,,Y,0,,,,,,,,,,,,,,,54
55,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,3-Aug-80,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,55
56,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,4-Aug-80,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,56
57,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,6-Aug-80,0%,0%,0,0,0,0,,,,N,0,,,,,,,,,,,,,,,57
1,,CC,,,,,,,0,0,0,0,0,0,N,66,97,0,67,0,0,0,0,,,6-Aug-81,1-Jun-81,100%,100%,0,0,0,0,,,,N,67,,,,,,,,,,,,,,,58
2,,CC,,,,,,,0,0,0,0,0,0,N,0,76,0,12,0,0,0,0,,,,6-Jun-81,100%,100%,0,0,0,0,,,,N,12,,,,,,,,,,,,,,,59
3,,CC,,,,,,,0,0,0,0,0,0,N,0,114,0,106,0,0,0,0,,,,11-Jun-81,100%,100%,0,0,0,0,,,,N,106,,,,,,,,,,,,,,,60
4,,CC,,,,,,,0,0,0,0,0,0,N,59,92,0,68,0,0,0,0,,,9-Aug-81,11-Jun-81,100%,100%,0,0,0,0,,,,N,68,,,,,,,,,,,,,,,61
5,,CC,,,,,,,0,0,0,0,0,0,N,60,95,0,23,0,0,0,0,,,11-Aug-81,12-Jun-81,100%,100%,0,0,0,0,,,,N,23,,,,,,,,,,,,,,,62
6,,CC,,,,,,,0,0,0,0,0,0,N,0,86,0,16,0,0,0,0,,,,16-Jun-81,100%,100%,0,0,0,0,,,,N,16,,,,,,,,,,,,,,,63
7,,CC,,,,,,,0,0,0,0,0,0,N,0,116,0,102,0,0,0,0,,,,18-Jun-81,100%,100%,0,0,0,0,,,,N,102,,,,,,,,,,,,,,,64
