Nest,Observed,Species,PIT,AE1,LFF,AE2,RFF,AE3,CNT,CNN,CW,SNT,SNN,SW,Biopsy,Incubation,Rel_Eggs,Eggs_Taken,Hatched,Unhatched,Live,Dead,Pipped,Comments,time,hatchdate,date,hatchsucc,emergencesucc,disVeg,disHT,final_lat,final_long,final_access,treatment,total_eggs,orig_lat,orig_long,reloc_lat,reloc_long,reloc_access,access,orig_beach_side,reloc_beach_side,tags,returning_turtle,disHT2,disVeg2,dna_id,prevtags,first_action,exit_time
45,,CC,,,,,,,,,,,,,,,66,,62,,,,,,,,07JUL1980,,,,,,,,N,,,,,,,,,,,,,,,,,
46,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,10JUL1980,,,,,,,,N,,,,,,,,,,,,,,,,,
47,,CC,,,,,,,,,,,,,,,100,,68,,,,,,,,08JUL1980,,,,,,,,N,,,,,,,,,,,,,,,,,
48,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,06JUL1980,,,,,,,,N,,,,,,,,,,,,,,,,,
49,,CC,,,,,,,,,,,,,,,97,,0,,,,,,,,30JUL1980,,,,,,,,N,,,,,,,,,,,,,,,,,
50,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,09AUG1980,,,,,,,,N,,,,,,,,,,,,,,,,,
51,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,11AUG1980,,,,,,,,N,,,,,,,,,,,,,,,,,
52,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,11AUG1980,,,,,,,,N,,,,,,,,,,,,,,,,,
53,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,11AUG1980,,,,,,,,N,,,,,,,,,,,,,,,,,
54,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,14AUG1980,,,,,,,,Y,,,,,,,,,,,,,,,,,
55,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,03AUG1980,,,,,,,,N,,,,,,,,,,,,,,,,,
56,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,04AUG1980,,,,,,,,N,,,,,,,,,,,,,,,,,
57,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,06AUG1980,,,,,,,,N,,,,,,,,,,,,,,,,,
1,,CC,,,,,,,,,,,,,,66,97,,67,,,,,,,06AUG1981,01JUN1981,,,,,,,,N,,,,,,,,,,,,,,,,,
2,,CC,,,,,,,,,,,,,,,76,,12,,,,,,,,06JUN1981,,,,,,,,N,,,,,,,,,,,,,,,,,
3,,CC,,,,,,,,,,,,,,,114,,106,,,,,,,,11JUN1981,,,,,,,,N,,,,,,,,,,,,,,,,,
4,,CC,,,,,,,,,,,,,,59,92,,68,,,,,,,09AUG1981,11JUN1981,,,,,,,,N,,,,,,,,,,,,,,,,,
5,,CC,,,,,,,,,,,,,,60,95,,23,,,,,,,11AUG1981,12JUN1981,,,,,,,,N,,,,,,,,,,,,,,,,,
6,,CC,,,,,,,,,,,,,,,86,,16,,,,,,,,16JUN1981,,,,,,,,N,,,,,,,,,,,,,,,,,
7,,CC,,,,,,,,,,,,,,,116,,102,,,,,,,,18JUN1981,,,,,,,,N,,,,,,,,,,,,,,,,,
8,,CC,,,,,,,,,,,,,,,71,,6,,,,,,,,19JUN1981,,,,,,,,N,,,,,,,,,,,,,,,,,
9,,CC,,,,,,,,,,,,,,,70,,0,,,,,,,,21JUN1981,,,,,,,,N,,,,,,,,,,,,,,,,,
10,,CC,,,,,,,,,,,,,,,66,,58,,,,,,,,23JUN1981,,,,,,,,N,,,,,,,,,,,,,,,,,
11,,CC,,,,,,,,,,,,,,,110,,93,,,,,,,,24JUN1981,,,,,,,,N,,,,,,,,,,,,,,,,,
12,,CC,,,,,,,,,,,,,,77,113,,3,,,,,,,13SEP1981,28JUN1981,,,,,,,,N,,,,,,,,,,,,,,,,,
13,,CC,,,,,,,,,,,,,,,110,,84,,,,,,,,28JUN1981,,,,,,,,N,,,,,,,,,,,,,,,,,
14,,CC,,,,,,,,,,,,,,,,,0,,,,,,,,11JUN1981,,,,,,,,N,,,,,,,,,,,,,,,,,
