Nest,Observed,Species,PIT,AE1,LFF,AE2,RFF,AE3,CNT,CNN,CW,SNT,SNN,SW,Biopsy,Incubation,Rel_Eggs,Eggs_Taken,Hatched,Unhatched,Live,Dead,Pipped,Comments,time,hatchdate,date,hatchsucc,emergencesucc,disVeg,disHT,final_lat,final_long,final_access,treatment,total_eggs,orig_lat,orig_long,reloc_lat,reloc_long,reloc_access,access,orig_beach_side,reloc_beach_side,tags,returning_turtle,disHT2,disVeg2,dna_id,prevtags,first_action,exit_time,year
40,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,7-Jul-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
41,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,6-Jul-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
42,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,6-Jul-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
43,,CC,,,,,,,,,,,,,,,,,,,,,,,,,29-Jul-80,,,,,,,,Y,,,,,,,,,,,,,,,,,,1980.0
44,,CC,,,,,,,,,,,,,,77.0,102.0,,98.0,,,,,,,17-Sep-80,2-Jul-80,,,,,,,,Y,,,,,,,,,,,,,,,,,,1980.0
45,,CC,,,,,,,,,,,,,,,66.0,,62.0,,,,,,,,7-Jul-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
46,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,10-Jul-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
47,,CC,,,,,,,,,,,,,,,100.0,,68.0,,,,,,,,8-Jul-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
48,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,6-Jul-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
49,,CC,,,,,,,,,,,,,,,97.0,,0.0,,,,,,,,30-Jul-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
50,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,9-Aug-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
51,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,11-Aug-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
52,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,11-Aug-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
53,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,11-Aug-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
54,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,14-Aug-80,,,,,,,,Y,,,,,,,,,,,,,,,,,,1980.0
55,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,3-Aug-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
56,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,4-Aug-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
57,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,6-Aug-80,,,,,,,,N,,,,,,,,,,,,,,,,,,1980.0
1,,CC,,,,,,,,,,,,,,66.0,97.0,,67.0,,,,,,,6-Aug-81,1-Jun-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
2,,CC,,,,,,,,,,,,,,,76.0,,12.0,,,,,,,,6-Jun-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
3,,CC,,,,,,,,,,,,,,,114.0,,106.0,,,,,,,,11-Jun-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
4,,CC,,,,,,,,,,,,,,59.0,92.0,,68.0,,,,,,,9-Aug-81,11-Jun-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
5,,CC,,,,,,,,,,,,,,60.0,95.0,,23.0,,,,,,,11-Aug-81,12-Jun-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
6,,CC,,,,,,,,,,,,,,,86.0,,16.0,,,,,,,,16-Jun-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
7,,CC,,,,,,,,,,,,,,,116.0,,102.0,,,,,,,,18-Jun-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
8,,CC,,,,,,,,,,,,,,,71.0,,6.0,,,,,,,,19-Jun-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
9,,CC,,,,,,,,,,,,,,,70.0,,0.0,,,,,,,,21-Jun-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
10,,CC,,,,,,,,,,,,,,,66.0,,58.0,,,,,,,,23-Jun-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
11,,CC,,,,,,,,,,,,,,,110.0,,93.0,,,,,,,,24-Jun-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
12,,CC,,,,,,,,,,,,,,77.0,113.0,,3.0,,,,,,,13-Sep-81,28-Jun-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
13,,CC,,,,,,,,,,,,,,,110.0,,84.0,,,,,,,,28-Jun-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
14,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,11-Jun-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
15,,CC,,,,,,,,,,,,,,,82.0,,36.0,,,,,,,,18-Jun-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
16,,CC,,,,,,,,,,,,,,,108.0,,30.0,,,,,,,,20-Jun-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
17,,CC,,,,,,,,,,,,,,,90.0,,20.0,,,,,,,,23-Jun-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
18,,CC,,,,,,,,,,,,,,,80.0,,72.0,,,,,,,,28-Jun-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
19,,CC,,,,,,,,,,,,,,,86.0,,21.0,,,,,,,,11-Jun-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
20,,CC,,,,,,,,,,,,,,,91.0,,85.0,,,,,,,,18-Jun-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
21,,CC,,,,,,,,,,,,,,,150.0,,0.0,,,,,,,,27-Jun-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
22,,CC,,,,,,,,,,,,,,,106.0,,1.0,,,,,,,,12-Jun-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
23,,CC,,,,,,,,,,,,,,,117.0,,100.0,,,,,,,,21-Jun-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
24,,CC,,,,,,,,,,,,,,,138.0,,70.0,,,,,,,,29-Jun-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
25,,CC,,,,,,,,,,,,,,67.0,111.0,,2.0,,,,,,,13-Sep-81,8-Jul-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
26,,CC,,,,,,,,,,,,,,64.0,93.0,,78.0,,,,,,,13-Sep-81,11-Jul-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
27,,CC,,,,,,,,,,,,,,84.0,112.0,,85.0,,,,,,,5-Oct-81,13-Jul-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
28,,CC,,,,,,,,,,,,,,83.0,105.0,,38.0,,,,,,,5-Oct-81,14-Jul-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
29,,CC,,,,,,,,,,,,,,,103.0,,97.0,,,,,,,,20-Jul-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
30,,CC,,,,,,,,,,,,,,,123.0,,115.0,,,,,,,,25-Jul-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
31,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,25-Jul-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
32,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,25-Jul-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
33,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,27-Jul-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
34,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,27-Jul-81,,,,,,,,Y,,,,,,,,,,,,,,,,,,1981.0
35,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,28-Jul-81,,,,,,,,Y,,,,,,,,,,,,,,,,,,1981.0
36,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,28-Jul-81,,,,,,,,Y,,,,,,,,,,,,,,,,,,1981.0
37,,CC,,,,,,,,,,,,,,,81.0,,75.0,,,,,,,,3-Jul-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
38,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,28-Jul-81,,,,,,,,Y,,,,,,,,,,,,,,,,,,1981.0
39,,CC,,,,,,,,,,,,,,,94.0,,56.0,,,,,,,,4-Jul-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
40,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,28-Jul-81,,,,,,,,Y,,,,,,,,,,,,,,,,,,1981.0
41,,CC,,,,,,,,,,,,,,,93.0,,78.0,,,,,,,,6-Jul-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
42,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,29-Jul-81,,,,,,,,Y,,,,,,,,,,,,,,,,,,1981.0
43,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,29-Jul-81,,,,,,,,Y,,,,,,,,,,,,,,,,,,1981.0
44,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,29-Jul-81,,,,,,,,Y,,,,,,,,,,,,,,,,,,1981.0
45,,CC,,,,,,,,,,,,,,,,,0.0,,,,,,,,30-Jul-81,,,,,,,,Y,,,,,,,,,,,,,,,,,,1981.0
46,,CC,,,,,,,,,,,,,,,44.0,,25.0,,,,,,,,4-Jul-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
47,,CC,,,,,,,,,,,,,,,81.0,,78.0,,,,,,,,5-Jul-81,,,,,,,,N,,,,,,,,,,,,,,,,,,1981.0
